"Org_Structure_Employees","Org_Structure_Locations","Org_Structure_Depts","Org_Structure_Layers","Distribution_Centralization","Distribution_Formalization","Style_Technocracy","Style_Participation","Style_Organicity","Style_Coercion","Culture_Command","Culture_Symbolic","Culture_Rationale","Culture_Generative","Culture_Transactive","Flexibility_openness","Flexibility_Recursiveness","Risk","Environment_Growth","Environment_Hostile","Environment_Stable","cluster"
9,1,3,2,3.5,3.5,4,4,4,2,3,4,2,4,4,5,4,3,3,3,3,2
20,3,15,4,3.5,3,3,3.5,3,4,2,2,3,3,4,4,4,4,3,4,1,1
5,3,3,3,3,4,4,4,3.5,1,3,4,5,3,4,5,4,4,4,1,2,2
5,1,2,2,3.5,4,4,4.5,4,3.5,4,4,3,3,4,4,4,2,4,2,4,2
20,1,3,4,1.5,4,1,2,3,4,4,2,2,1,2,2,1,2,4,4,4,1
5,3,4,3,3,2,5,4.5,4,2,3,4,4,2,4,2,2,2,3,3,5,1
20,2,3,3,4,3,4,4,4,1,4,4,3,4,4,3,2,4,4,2,4,2
10,1,2,2,4,3,5,4,4.5,2,4,4,4,3,4,4,2,1,4,2,4,2
20,1,8,3,2.5,2,3,3,2,3,4,2,5,1,4,2,4,2,2,1,3,1
40,2,5,3,4,5,2,3.5,3.5,1,4,4,4,4,4,4,4,4,3,1,5,2
25,1,6,4,3.5,3,3,4,4,2.5,4,4,3,3,3,2,2,2,3,4,4,1
20,1,8,6,3.5,3,3,3.5,2.5,2,4,4,4,4,4,4,2,2,2,4,3,1
40,2,3,3,1.5,1.5,2,3,3,2.5,4,2,2,3,4,2,2,2,3,2,4,1
40,3,5,5,1.5,4,2,2.5,4,3.5,5,4,4,3,4,3,2,4,2,2,3,1
12,1,4,5,4,3,4,4.5,3.5,1,2,4,4,3,5,4,4,3,4,4,4,2
100,25,1,5,2.5,2,3,3.5,4,4.5,5,5,4,3,4,5,5,4,3,1,5,2
