"ID","Org_Structure_Employees","Org_Structure_Locations","Org_Structure_Depts","Org_Structure_Layers","Distribution_Centralization1","Distribution_Centralization2","Distribution_Formalization1","Distribution_Formalization2","Style_Participation1","Style_Participation2","Style_Organicity1","Style_Organicity2","Style_Coercion1","Style_Coercion2","Style_Technocracy","Culture_Command","Culture_Symbolic","Culture_Rationale","Culture_Generative","Culture_Transactive","Flexibility_openness","Flexibility_Recursiveness","Risk","Environment_Growth","Environment_Hostile","Environment_Stable","PDM_Type","Cluster"
99,5,3,4,3,4,2,2,2,4,5,4,4,2,2,5,3,4,4,2,4,2,2,2,3,3,5,"Design-Bid-Build",1
100,20,2,3,3,4,4,3,3,4,4,4,4,1,1,4,4,4,3,4,4,3,2,4,4,2,4,"Progressive Design-Build",7
101,10,1,2,2,4,4,3,3,4,4,4,5,2,2,5,4,4,4,3,4,4,2,1,4,2,4,"Design-Build",4
102,20,1,8,3,4,1,2,2,2,4,2,2,3,3,3,4,2,5,1,4,2,4,2,2,1,3,"Design-Build",2
103,40,2,5,3,4,4,5,5,4,3,3,4,1,1,2,4,4,4,4,4,4,4,4,3,1,5,"Design-Build",7
104,25,1,6,4,3,4,3,3,4,4,4,4,2,3,3,4,4,3,3,3,2,2,2,3,4,4,"Design-Bid-Build",1
105,20,1,8,6,3,4,3,3,4,3,3,2,3,1,3,4,4,4,4,4,4,2,2,2,4,3,"Design-Build",1
106,40,2,3,3,2,1,2,1,2,4,4,2,2,3,2,4,2,2,3,4,2,2,2,3,2,4,"Design-Build",2
107,40,3,5,5,2,1,4,4,2,3,4,4,4,3,2,5,4,4,3,4,3,2,4,2,2,3,"Design-Build",2
108,12,1,4,5,5,3,4,2,4,5,3,4,1,1,4,2,4,4,3,5,4,4,3,4,4,4,"Design-Bid-Build",7
109,100,25,1,5,3,2,2,2,3,4,4,4,4,5,3,5,5,4,3,4,5,5,4,3,1,5,"Design-Build",1
